date,player,stat,line,direction,predicted_prob,decision,actual_result,role,gate_warnings,stat_type
2026-01-16,Tyrese Maxey,points,27.5,lower,,,hit,,,
2026-01-16,Evan Mobley,blocks,1.5,higher,,,hit,,,
2026-01-16,Vince Edgecombe,steals,1.5,higher,,,miss,,,
2026-01-16,DeAndre Hunter,assists,1.5,higher,,,hit,,,
2026-01-16,Evan Mobley,3pm,1.5,lower,,,hit,,,
2026-01-16,Joel Embiid,3pm,1.5,lower,,,miss,,,
2026-01-16,Kelly Oubre,3pm,1.5,lower,,,miss,,,
2026-01-16,Julius Randle,points,23.5,lower,,,miss,,,
2026-01-16,Bones Hyland,points,11.5,lower,,,hit,,,
2026-01-16,Rudy Gobert,rebounds,10.5,higher,,,hit,,,
2026-01-16,Kevin Durant,points,25.5,higher,,,hit,,,
2026-01-16,Amen Thompson,points,17.5,higher,,,miss,,,
2026-01-15,Lu Dort,3pm,1.5,higher,,,hit,,,
2026-01-15,Amen Thompson,3pm,0.5,higher,,,hit,,,
2026-01-15,Shai Gilgeous-Alexander,rebounds,3.5,higher,,,miss,,,
2026-01-15,Jalen Williams,3pm,0.5,higher,,,miss,,,
2026-01-15,Kevin Durant,3pm,2.5,higher,,,miss,,,
2026-01-15,Royce ONeale,points,9.5,higher,,,hit,,,
2026-01-15,Dillon Brooks,points,21.5,higher,,,miss,,,
2026-01-15,Collin Gillespie,points,14.5,lower,,,miss,,,
2026-01-15,Tobias Harris,3pm,1.5,higher,,,miss,,,
2026-01-15,Jaren Jackson Jr,points,19.5,higher,,,hit,,,
2026-01-15,Desmond Bane,3pm,1.5,lower,,,hit,,,
2026-01-15,Franz Wagner,pts+reb+ast,23.5,higher,,,hit,,,
2026-01-15,Anthony Black,points,15.5,higher,,,hit,,,
2026-01-14,Jalen Brunson,rebounds,3.5,lower,,,hit,,,
2026-01-14,DeMar DeRozan,pts+reb+ast,26.5,higher,,,hit,,,
2026-01-14,Jamal Murray,points,25.5,higher,,,hit,,,
2026-01-14,Karl-Anthony Towns,points,20.5,higher,,,miss,,,
2026-01-14,Paul George,assists,3.5,higher,,,hit,,,
2026-01-14,Brandon Ingram,assists,3.5,higher,,,hit,,,
2026-01-14,Joel Embiid,rebounds,8.5,higher,,,miss,,,
2026-01-14,Nic Claxton,rebounds,7.5,higher,,,miss,,,
2026-01-13,Stephen Curry,rebounds,3.5,higher,,,hit,,,
2026-01-13,Bam Adebayo,assists,2.5,higher,,,hit,,,
2026-01-13,Zion Williamson,assists,4.5,lower,,,hit,,,
2026-01-13,Chet Holmgren,assists,1.5,higher,,,miss,,,
2026-01-13,Andrew Wiggins,points,13.5,higher,,,miss,,,
2026-01-12,Joel Embiid,rebounds,8.5,higher,,,hit,,,
2026-01-12,James Harden,assists,8.5,higher,,,miss,,,
2026-01-12,Stephen Curry,points,28.5,lower,,,hit,,,
2026-01-12,Giannis Antetokounmpo,points,30.5,higher,,,miss,,,
2026-01-11,Anthony Davis,points,12.5,higher,,,hit,,,
2026-01-11,Cooper Flagg,3pm,0.5,higher,,,hit,,,
2026-01-11,Julius Randle,rebounds,7.5,higher,,,hit,,,
2026-01-11,LaMelo Ball,assists,6.5,higher,,,hit,,,
2026-01-11,Anthony Edwards,assists,3.5,higher,,,hit,,,
2026-01-10,Kevin Durant,pts+reb+ast,38.5,higher,,,hit,,,
2026-01-10,Al Horford,assists,1.5,higher,,,hit,,,
2026-01-10,Dorian Finney-Smith,points,3.5,higher,,,miss,,,
2026-01-10,Deni Avdija,3pm,2.5,higher,,,miss,,,
2026-01-17,F. R Gobert,rebounds,10.5,higher,,,hit,,,
2026-01-17,K. Durant,points,25.5,higher,,,hit,,,
2026-01-17,A. Thompson,points,17.5,lower,,,miss,,,
2026-01-17,F. R Gobert,rebounds,10.5,higher,,,hit,,,
2026-01-17,K. Durant,points,25.5,higher,,,hit,,,
2026-01-17,A. Thompson,points,17.5,lower,,,miss,,,
2026-01-17,J Clarkson,points,8.5,higher,,,hit,,,
2026-01-17,S. Curry,pts+reb+ast,37.5,lower,,,miss,,,
2026-01-17,M Bridges,3pm,1.5,higher,,,miss,,,
2026-01-17,J Clarkson,points,8.5,higher,,,hit,,,
2026-01-17,S. Curry,pts+reb+ast,37.5,lower,,,miss,,,
2026-01-17,M Bridges,3pm,1.5,higher,,,miss,,,
2026-01-17,J. Randle,rebounds,7.5,higher,,,hit,,,
2026-01-17,J. Randle,rebounds,7.5,higher,,,hit,,,
2026-01-17,n K Durant,pts+reb+ast,38.5,higher,,,hit,,,
2026-01-17,D Avdija,3pm,2.5,lower,,,miss,,,
2026-01-17,A. Green,rebounds,2.5,lower,,,miss,,,
2026-01-17,n K Durant,pts+reb+ast,38.5,higher,,,hit,,,
2026-01-17,D Avdija,3pm,2.5,lower,,,miss,,,
2026-01-17,A. Green,rebounds,2.5,lower,,,miss,,,
2026-01-17,L Dort,3pm,1.5,higher,,,hit,,,
2026-01-17,L Dort,3pm,1.5,higher,,,hit,,,
2026-01-17,Neale,points,9.5,higher,,,hit,,,
2026-01-17,D Brooks,points,21.5,lower,,,miss,,,
2026-01-17,C. Gillespie,points,14.5,higher,,,miss,,,
2026-01-17,Neale,points,9.5,higher,,,hit,,,
2026-01-17,D Brooks,points,21.5,lower,,,miss,,,
2026-01-17,C. Gillespie,points,14.5,higher,,,miss,,,
2026-01-17,J. Jackson,points,19.5,higher,,,hit,,,
2026-01-17,F. Wagner,pts+reb+ast,23.5,higher,,,hit,,,
2026-01-17,A. Black,points,15.5,higher,,,hit,,,
2026-01-17,J. Jackson,points,19.5,higher,,,hit,,,
2026-01-17,F. Wagner,pts+reb+ast,23.5,higher,,,hit,,,
2026-01-17,A. Black,points,15.5,higher,,,hit,,,
2026-01-17,D DeRozan,pts+reb+ast,26.5,higher,,,hit,,,
2026-01-17,J. Murray,points,25.5,higher,,,hit,,,
2026-01-17,K. Towns,points,20.5,lower,,,miss,,,
2026-01-17,D DeRozan,pts+reb+ast,26.5,higher,,,hit,,,
2026-01-17,J. Murray,points,25.5,higher,,,hit,,,
2026-01-17,K. Towns,points,20.5,lower,,,miss,,,
2026-01-17,P. George,assists,3.5,higher,,,hit,,,
2026-01-17,B. Ingram,assists,3.5,higher,,,hit,,,
2026-01-17,Z. Williamson,assists,3.5,lower,,,miss,,,
2026-01-17,K. Towns,points,21.5,lower,,,miss,,,
2026-01-17,P. George,assists,3.5,higher,,,hit,,,
2026-01-17,B. Ingram,assists,3.5,higher,,,hit,,,
2026-01-17,Z. Williamson,assists,3.5,lower,,,miss,,,
2026-01-17,K. Towns,points,21.5,lower,,,miss,,,
2026-01-17,S. Curry,rebounds,3.5,higher,,,hit,,,
2026-01-17,B. Adebayo,assists,2.5,higher,,,hit,,,
2026-01-17,Z. Williamson,assists,4.5,lower,,,hit,,,
2026-01-17,S. Curry,rebounds,3.5,higher,,,hit,,,
2026-01-17,B. Adebayo,assists,2.5,higher,,,hit,,,
2026-01-17,Z. Williamson,assists,4.5,lower,,,hit,,,
2026-01-17,S. Curry,points,28.5,lower,,,miss,,,
2026-01-17,Gs Antetokounmpo,points,30.5,lower,,,miss,,,
2026-01-17,S. Curry,points,28.5,lower,,,miss,,,
2026-01-17,Gs Antetokounmpo,points,30.5,lower,,,miss,,,
2026-01-17,A. Davis,1h_points,12.5,higher,,,hit,,,
2026-01-17,C.Flagg,3pm,0.5,higher,,,hit,,,
2026-01-17,J. Randle,rebounds,7.5,higher,,,hit,,,
2026-01-17,L Ball,assists,6.5,higher,,,hit,,,
2026-01-17,A. Davis,1h_points,12.5,higher,,,hit,,,
2026-01-17,C.Flagg,3pm,0.5,higher,,,hit,,,
2026-01-17,J. Randle,rebounds,7.5,higher,,,hit,,,
2026-01-17,L Ball,assists,6.5,higher,,,hit,,,
2026-01-18,A. Horford,points,11.5,higher,,,hit,,,
2026-01-18,S. Curry,3pm,4.5,lower,,,miss,,,
2026-01-18,L Ball,assists,6.5,lower,,,miss,,,
2026-01-18,A. Horford,points,11.5,higher,,,hit,,,
2026-01-18,S. Curry,3pm,4.5,lower,,,miss,,,
2026-01-18,L Ball,assists,6.5,lower,,,miss,,,
2026-01-18,C.Holmgren,assists,1.5,higher,,,hit,,,
2026-01-18,A. Sarr,pts+reb+ast,27.5,lower,,,hit,,,
2026-01-18,J. Murray,pts+reb+ast,41.5,higher,,,miss,,,
2026-01-18,D. Fox,points,22.5,higher,,,miss,,,
2026-01-18,V. Wembanyama,points,21.5,higher,,,miss,,,
2026-01-18,C.Holmgren,assists,1.5,higher,,,hit,,,
2026-01-18,A. Sarr,pts+reb+ast,27.5,lower,,,hit,,,
2026-01-18,J. Murray,pts+reb+ast,41.5,higher,,,miss,,,
2026-01-18,D. Fox,points,22.5,higher,,,miss,,,
2026-01-18,V. Wembanyama,points,21.5,higher,,,miss,,,
2026-01-18,K. Towns,points,24.5,higher,,,hit,,,
2026-01-18,D. Brooks,pts+reb+ast,24.5,lower,,,miss,,,
2026-01-18,K. Towns,points,24.5,higher,,,hit,,,
2026-01-18,D. Brooks,pts+reb+ast,24.5,lower,,,miss,,,
2026-01-18,L James,pts+reb+ast,43.5,lower,,,hit,,,
2026-01-18,J LaRavia,pts+reb+ast,23.5,lower,,,hit,,,
2026-01-18,S. Sharpe,points,24.5,higher,,,miss,,,
2026-01-18,L James,pts+reb+ast,43.5,lower,,,hit,,,
2026-01-18,J LaRavia,pts+reb+ast,23.5,lower,,,hit,,,
2026-01-18,S. Sharpe,points,24.5,higher,,,miss,,,
